Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Pecriformes,Serranidae,Cromileptes,altivelis,Humpback grouper,Both,12.6,3.17,"Small fishes, crustaceans","Invertivore, piscivore","Dead, silty reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=6457&what=species&TotRec=8
Actinopterygii,Mugiliformes,Mugilidae,Crenimugil,crenilabis,Fringelip mullet,Both,18.7,4.01,"Algae, microscopic animals","Herbivore, invertivore","Coral reefs, coastal waters",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5653&what=species&TotRec=8
Actinopterygii,Eupercaria,Labridae,Coris,bulbifrons,Doubleheader,M,NA,NA,"Gastropods, pelecypods, crustaceans",Invertivore,"Rocky reefs, coral areas",Benthic,
Actinopterygii,Eupercaria,Labridae,Coris,bulbifrons,Doubleheader,F,44.4,12.82,"Gastropods, pelecypods, crustaceans",Invertivore,"Rocky reefs, coral areas",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=12729&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Coris,gaimard,African coris,Both,15.5,3.64,"Molluscs, crabs, tunicates",Invertivore,Sand rubbles close to coral reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=9&ID=5625&what=species&TotRec=13
Actinopterygii,Eupercaria,Labridae,Coris,aygula,Clown coris,M,58.4,18.83,"Crustaceans, molluscs, sea urching",Invertivore,Sand rubble patches near coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=9&ID=5624&what=species&TotRec=15
Actinopterygii,Eupercaria,Labridae,Coris,aygula,Clown coris ,F,13.7,3.27,"Crustaceans, molluscs, sea urching",Invertivore,Sand rubble patches near coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=5624&what=species&TotRec=15
Actinopterygii,Eupercaria,Labridae,Coris,auricularis,Western king wrasse,M,35,8.15,Unknown,Invertivore,"Rocky reefs, coral areas",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=25769&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Coris,auricularis,Western king wrasse,F,NA,NA,Unknown,Invertivore,"Rocky reefs, coral areas",Benthic,
Actinopterygii,Eupercaria,Labridae,Coris,dorsomacula,Pale-barred coris,M,19.2,4.51,Unknown,Invertivore,"Sand, rubble bottoms",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=6657&what=species&TotRec=10
