individual,time,behaviour
20250109_negative-control_5_126,349499.15,Bite
20250109_negative-control_5_126,350900.55,Bite
20250109_negative-control_5_126,347497.15,Bite
20250109_negative-control_5_126,351267.5833333333,Bite
20250109_negative-control_5_126,372505.4666666667,Bite
20250109_negative-control_5_126,373656.6166666667,Bite
20250109_negative-control_6_127,72472.40000000001,Feeding
20250109_negative-control_6_127,72472.40000000001,Bite
20250109_negative-control_6_127,72472.40000000001,Bite
20250109_negative-control_6_127,73156.41666666667,Bite
20250109_negative-control_6_127,74357.61666666667,Bite
20250109_negative-control_6_127,75075.0,Bite
20250109_negative-control_6_127,75658.91666666667,Bite
20250109_negative-control_6_127,76810.06666666667,Bite
20250109_negative-control_6_127,81381.30000000002,Bite
20250109_negative-control_6_127,81698.28333333334,Bite
20250109_negative-control_6_127,82382.3,Bite
20250109_negative-control_6_127,83299.88333333335,Bite
20250109_negative-control_6_127,85618.86666666668,Bite
20250109_negative-control_6_127,86136.05,Bite
20250109_negative-control_6_127,88721.96666666667,Bite
20250109_negative-control_6_127,89622.86666666667,Bite
20250109_negative-control_6_127,90690.6,Bite
20250109_negative-control_6_127,91124.36666666667,Bite
20250109_negative-control_6_127,91875.11666666667,Bite
20250109_negative-control_6_127,92358.93333333333,Bite
20250109_negative-control_6_127,93359.93333333335,Bite
20250109_negative-control_6_127,94277.51666666668,Bite
20250109_negative-control_6_127,95762.33333333334,Bite
20250109_negative-control_6_128,82165.41666666667,Moving
20250109_negative-control_6_128,86569.81666666667,Feeding
20250109_negative-control_6_128,87670.91666666667,Bite
20250109_negative-control_6_128,87954.53333333334,Bite
20250109_negative-control_6_128,89372.61666666667,Bite
20250109_negative-control_6_128,89906.48333333334,Bite
20250109_negative-control_6_128,90590.5,Bite
20250109_negative-control_6_128,91307.88333333333,Bite
20250109_negative-control_6_129,118535.08333333333,Feeding
20250109_negative-control_6_129,122071.95,Bite
20250109_negative-control_6_129,118568.45000000001,Bite
20250109_negative-control_6_129,128111.31666666668,Bite
20250109_positive-control_0_130,26509.81666666667,Feeding
20250109_positive-control_0_130,28511.81666666667,Bite
20250109_positive-control_0_130,30113.416666666668,Bite
20250109_positive-control_0_130,33316.61666666667,Bite
20250109_positive-control_0_130,34651.28333333333,Bite
20250109_positive-control_0_130,38354.98333333334,Bite
20250109_positive-control_0_130,40156.78333333334,Bite
20250109_positive-control_0_130,45195.15000000001,Bite
20250109_positive-control_0_130,47714.333333333336,Bite
20250109_positive-control_0_130,49699.65000000001,Bite
20250109_positive-control_0_130,50266.88333333333,Bite
20250109_positive-control_0_130,52802.75,Bite
20250109_positive-control_0_130,55722.333333333336,Bite
20250109_positive-control_0_130,57140.416666666664,Bite
20250109_positive-control_0_130,64247.51666666667,Bite
20250109_positive-control_0_130,66182.78333333334,Bite
20250109_positive-control_0_130,68601.86666666667,Bite
20250109_positive-control_0_130,74791.38333333335,Bite
20250109_positive-control_0_131,55772.38333333334,Feeding
20250109_positive-control_0_131,58141.41666666667,Bite
20250109_positive-control_0_131,55872.48333333334,Bite
20250109_positive-control_0_131,62812.75,Bite
20250109_positive-control_0_131,65348.61666666667,Bite
20250109_positive-control_0_131,68218.15000000001,Bite
20250109_positive-control_0_131,72756.01666666666,Bite
20250109_positive-control_0_131,73456.71666666666,Bite
20250109_positive-control_1_132,263096.1666666667,Moving
20250109_positive-control_3_133,159459.30000000002,Feeding
20250109_positive-control_3_133,160393.56666666668,Bite
20250109_positive-control_3_133,162512.35,Vigilance
20250109_positive-control_3_134,175308.46666666667,Feeding
20250109_positive-control_3_134,179546.03333333335,Bite
20250109_positive-control_3_134,181431.25,Bite
20250109_positive-control_3_134,185001.48333333334,Bite
20250109_positive-control_3_134,188872.01666666666,Bite
20250109_positive-control_3_135,180063.21666666667,Feeding
20250109_positive-control_3_135,181898.38333333333,Bite
20250109_positive-control_3_135,208658.45,Bite
20250109_positive-control_3_135,211978.43333333335,Bite
20241213_barracuda_1_136,270453.5166666667,Feeding
20241213_barracuda_1_136,271988.3833333333,Bite
20241213_barracuda_1_137,272071.8,Feeding
20241213_barracuda_1_137,272956.0166666667,Bite
20241213_barracuda_1_137,277076.8,Bite
20241213_barracuda_1_137,278478.2,Bite
20241213_barracuda_2_138,57207.15000000001,Feeding
20241213_barracuda_2_138,57207.15000000001,Bite
20241213_barracuda_2_138,57207.15000000001,Bite
20241213_barracuda_2_138,57891.16666666667,Bite
20241213_barracuda_2_138,60693.96666666667,Bite
20241213_barracuda_2_138,66449.71666666667,Bite
